Location,Year,Crime,Total cases
Ceuta,2021,Other crimes against freedom and sexual indemnity,43
Ceuta,2021,Robbery with violence and intimidation,195
Ceuta,2021,Burglaries with force in homes,69
Ceuta,2021,Robberies with force in homes,31
Ceuta,2021,Theft,434
Ceuta,2021,Vehicle theft,103
Ceuta,2021,Drug trafficking,205
Ceuta,2021,Other criminal offenses,2785
Melilla,2019,Intentional homicides and consummated murders,1
Melilla,2019,Intentional homicides and attempted murders,8
Melilla,2019,Serious and less serious crimes of injuries and riotous brawl,146
Melilla,2019,Kidnapping,0
Melilla,2019,Crimes against freedom and sexual indemnity,33
Melilla,2019,Sexual assault with penetration,5
Melilla,2019,Other crimes against freedom and sexual indemnity,28
Melilla,2019,Robbery with violence and intimidation,373
Melilla,2019,Burglaries with force in homes,131
Melilla,2019,Robberies with force in homes,71
Melilla,2019,Theft,1204
Melilla,2019,Vehicle theft,76
Melilla,2019,Drug trafficking,63
Melilla,2019,Other criminal offenses,3577
Melilla,2020,Intentional homicides and consummated murders,0
Melilla,2020,Intentional homicides and attempted murders,2
Melilla,2020,Serious and less serious crimes of injuries and riotous brawl,157
Melilla,2020,Kidnapping,0
Melilla,2020,Crimes against freedom and sexual indemnity,34
Melilla,2020,Sexual assault with penetration,4
Melilla,2020,Other crimes against freedom and sexual indemnity,30
Melilla,2020,Robbery with violence and intimidation,300
Melilla,2020,Burglaries with force in homes,65
Melilla,2020,Robberies with force in homes,44
Melilla,2020,Theft,778
Melilla,2020,Vehicle theft,42
Melilla,2020,Drug trafficking,232
Melilla,2020,Other criminal offenses,2857
Melilla,2021,Intentional homicides and consummated murders,0
Melilla,2021,Intentional homicides and attempted murders,4
Melilla,2021,Serious and less serious crimes of injuries and riotous brawl,119
Melilla,2021,Kidnapping,0
Melilla,2021,Crimes against freedom and sexual indemnity,39
Melilla,2021,Sexual assault with penetration,2
Melilla,2021,Other crimes against freedom and sexual indemnity,37
Melilla,2021,Robbery with violence and intimidation,201
Melilla,2021,Burglaries with force in homes,68
Melilla,2021,Robberies with force in homes,55
Melilla,2021,Theft,576
Melilla,2021,Vehicle theft,35
Melilla,2021,Drug trafficking,230
Melilla,2021,Other criminal offenses,2842
